# %ECSV 0.9
# ---
# datatype:
# - {name: facet_num,datatype: int}
# - {name: chan_id,datatype: int}
# - {name: SPO_MM_num,datatype: int}
# - {name: SPO_row_num,datatype: int}
# - {name: X,unit: mm,datatype: float64}
# - {name: Y,unit: mm,datatype: float64}
# - {name: Z,unit: mm,datatype: float64}
# - {name: DispNX,datatype: float64}
# - {name: DispNY,datatype: float64}
# - {name: DispNZ,datatype: float64}
# - {name: GBarNX,datatype: float64}
# - {name: GBarNY,datatype: float64}
# - {name: GBarNZ,datatype: float64}
# - {name: NormNX,datatype: float64}
# - {name: NormNY,datatype: float64}
# - {name: NormNZ,datatype: float64}
# - {name: xsize,unit: mm,datatype: float64}
# - {name: ysize,unit: mm,datatype: float64}
# - {name: period,unit: mm,datatype: float64}
# Author: Casey DeRoo
# ORIGFILE: arcusTrace.ParamFiles.arcus_params_wsdesign_rev1p0.py
# Description: Specifications of CAT Grating Facets from preliminary specifications for Arcus 2020 (E. Hertz, as of 20/04/24)
facet_num,chan_id,SPO_MM_num,SPO_row_num,X,Y,Z,DispNX,DispNY,DispNZ,GBarNX,GBarNY,GBarNZ,NormNX,NormNY,NormNZ,xsize,ysize,period
50,1,8,2,-163.5,502.6,11871.77899,0.9998441198679981,-0.000746812002879748,-0.017640244817484305,0.0,0.9991050473614356,-0.04229780534381878,0.01765604614256621,0.0422912119563384,0.9989493067347691,28,28.5,0.0002
51,1,8,2,-163.5,536.1,11870.31066,0.9998441199237134,-0.0007965896041266443,-0.01763806392372633,0.0,0.9989817048054626,-0.045117108329008844,0.017656042987455003,0.045110075470720705,0.9988259834611086,28,28.5,0.0002
52,1,8,2,-130.5,509.0,11870.65403,0.9997912542640733,-0.0008752767532115155,-0.02041278490741767,0.0,0.999081967811885,-0.04283948637800957,0.020431541720369782,0.04283054381789887,0.9988734137112629,28,28.5,0.0002
53,1,8,2,-130.5,542.5,11869.16726,0.9997912543200242,-0.0009328834840699664,-0.020410230611093046,0.0,0.9989570843678813,-0.04565899244641495,0.020431538982486123,0.045649461328989706,0.9987485563920382,28,28.5,0.0002
54,1,9,2,-87.5,521.3,11868.73371,0.9997107922660454,-0.0010552451839770857,-0.024025367518480705,0.0,0.9990368168604012,-0.043879819478174736,0.024048530657742366,0.04386712909501711,0.9987478876864597,28,28.5,0.0002
55,1,9,2,-87.5,554.8,11867.21162,0.9997107923155473,-0.001123058011900773,-0.024022291075636186,0.0,0.9989089758999304,-0.04669965595753666,0.0240485285999099,0.046686150058172456,0.9986200837480314,28,28.5,0.0002
56,1,9,2,-54.5,524.4,11867.32204,0.9996401509839262,-0.0011841928769019013,-0.02679862362255709,0.0,0.9990251125695538,-0.04414549190336745,0.0268247747582935,0.04412960619154192,0.9986656143657626,28,28.5,0.0002
57,1,9,2,-54.5,557.9,11865.79079,0.9996401510206786,-0.001259842428655689,-0.026795172408664462,0.0,0.9988965058676783,-0.046965631746451665,0.026824773388699753,0.04694873121180451,0.998537053979594,28,28.5,0.0002
58,1,9,2,-21.5,525.9,11865.79688,0.9995617810547819,-0.001310669280928115,-0.02957241959374153,0.0,0.9990192839534147,-0.044277198298973475,0.02960145021096562,0.04425779519183767,0.9985814947765481,28,28.5,0.0002
59,1,9,2,-21.5,559.4,11864.26097,0.9995617810718138,-0.0013941597538638805,-0.02956860056080094,0.0,0.9988902882984259,-0.047097685113895414,0.029601449635845396,0.047077046016804756,0.9984525556669122,28,28.5,0.0002
60,1,10,2,21.5,559.1,11862.09793,0.9994480536140198,-0.0015640463843358226,-0.03318345801834009,0.0,0.9988910726128337,-0.047081047719678984,0.03322029691539938,0.047055061505541944,0.9983397382953171,28,28.5,0.0002
